Close proximity (average duration),Body contact (average duration),Body contact (total time),Clasping   (% of time),Carrying   (% of time),Restrain rate,Hinde index mother (proximity),Aggression rate,Age of refused nipple contact
-32.41371661,-23.23022721,-30.30612933,-47.79210715,-12.8568467,-35.30936073,-11.96944536,63.60037846,-12.78013325
7.260602198,-6.887429082,-19.04624069,22.84188846,-11.90271799,40.89176476,-21.59500312,-2.189308407,-36.03876439
3.308484249,5.431278776,-3.02860442,4.041514511,17.62762488,-19.22367992,-6.500813717,5.923225425,4.663840097
30.75649555,30.17272803,24.39063555,49.82388341,42.46480303,118.6184981,70.38785749,-46.24791546,102.7861902
23.60410035,30.22450842,5.228568635,1.051126329,18.12858838,-29.49284035,-5.143914461,66.42281259,-24.04603271
7.969163059,0.548907457,-0.142082327,-23.76176967,25.26355471,-61.37278646,-28.81058086,36.76163283,24.28831012
10.36098108,-11.34317029,-6.512430902,-8.441555639,7.49525383,-35.68229725,40.82772776,230.980946,-42.75700935
-1.463800227,5.137576674,5.109014007,8.448112146,-10.5128405,-24.4708357,21.23953952,-70.30951163,-27.57009346
4.159052722,9.682888492,4.312534023,7.499833928,-12.93913773,7.071457082,-52.47904247,-73.41699826,-0.700934579
4.879263418,11.03267241,8.947377492,7.446557838,26.09690254,77.37963616,26.09851487,-39.51316986,16.82242991
-17.93549699,-14.50996729,-11.85649462,-14.95294827,-10.14017813,-24.29796029,-35.68673969,-47.74126621,54.20560748
16.39403497,11.21408825,39.5452527,19.01188502,2.728279371,59.17175177,53.94378123,-32.91002861,-22.22895215
-9.619823723,-2.6431161,12.35672783,-12.84964934,-18.30789353,-14.46251241,17.06657548,-100,43.91278013
-2.095748805,-10.94798597,-2.538965465,11.62649595,-9.979089396,19.26328308,-29.37876629,40.75259241,-38.21926105
-36.3625601,-35.27305332,-26.38468257,-63.06788888,-36.1617121,-70.22878176,7.981592509,-100,9.024833434
-7.639865346,-9.485316888,-11.50206438,-7.968059081,-4.286716351,75.05871837,-17.73622202,117.4752213,-10.59963658
-1.161165788,10.87561764,11.42758448,47.04268045,-12.7178743,-82.91405448,-28.24506088,-49.58861052,-40.76317383